"Site","Channel","Date (UTC)","Value"
"SS16/1","T648 C1:TEMP","1482024284496","33.0"
"SS16/1","T648 C1:TEMP","1482024404186","35.0"
"SS16/1","T648 C1:TEMP","1482024504086","33.0"
"SS16/1","T648 C1:TEMP","1482025449986","35.0"
"SS16/1","T648 C1:TEMP","1482025502196","33.0"
"SS16/1","T648 C1:TEMP","1482026736996","35.0"
"SS16/1","T648 C1:TEMP","1482026774796","33.0"
"SS16/1","T648 C1:TEMP","1482026865686","35.0"
"SS16/1","T648 C1:TEMP","1482030168696","33.0"
"SS16/1","T648 C1:TEMP","1482030188486","35.0"
"SS16/1","T648 C1:TEMP","1482030572796","33.0"
"SS16/1","T648 C1:TEMP","1482032100986","35.0"
"SS16/1","T648 C1:TEMP","1482032118086","33.0"
"SS16/1","T648 C1:TEMP","1482032644596","35.0"
"SS16/1","T648 C1:TEMP","1482057384686","37.0"
"SS16/1","T648 C1:TEMP","1482062254596","35.0"
"SS16/1","T648 C1:TEMP","1482062338286","37.0"
"SS16/1","T648 C1:TEMP","1482062360786","35.0"
"SS16/1","T648 C1:TEMP","1482062709996","37.0"
"SS16/1","T648 C1:TEMP","1482062888186","35.0"
"SS16/1","T648 C1:TEMP","1482063042086","37.0"
"SS16/1","T648 C1:TEMP","1482063126686","35.0"
"SS16/1","T648 C1:TEMP","1482063680196","37.0"
"SS16/1","T648 C1:TEMP","1482077405196","39.0"
"SS16/1","T648 C1:TEMP","1482099486686","37.0"
"SS16/1","T648 C1:TEMP","1482109916796","35.0"
"SS16/1","T648 C1:TEMP","1482116595686","37.0"
"SS16/1","T648 C1:TEMP","1482119338896","35.0"
"SS16/1","T648 C1:TEMP","1482119517096","37.0"
"SS16/1","T648 C1:TEMP","1482120262296","35.0"
"SS16/1","T648 C1:TEMP","1482120736596","37.0"
"SS16/1","T648 C1:TEMP","1482127876296","35.0"
"SS16/1","T648 C1:TEMP","1482128014886","37.0"
"SS16/1","T648 C1:TEMP","1482128384796","35.0"
"SS16/1","T648 C1:TEMP","1482130566386","37.0"
"SS16/1","T648 C1:TEMP","1482143659586","39.0"
"SS16/1","T648 C1:TEMP","1482202705896","37.0"
"SS16/1","T648 C1:TEMP","1482203384496","39.0"
"SS16/1","T648 C1:TEMP","1482204342986","37.0"
"SS16/1","T648 C1:TEMP","1482204468996","39.0"
"SS16/1","T648 C1:TEMP","1482204515786","37.0"
